id_dane;state;municipality;depto;mpio;y_total;SGP_total;pobl_tot;indrural;discapital;areaoficialkm2;pobreza;gini;pib_cons;pib_percapita_cons;pib_total;pib_agricola;ind_alfa;anos_est_mun;TMI;tpobc_FARC;tpobc_ELN;tpobc_DESC;tpobc_AUC;enfr_FARC;enfr_ELN;enfr_DESC;enfr_AUC;desmovilizados;desplazados_expulsion;desplazados_recepcion;polalgn_2011;margin_2011;sample_2011;polalgn_2015;margin_2015;sample_2015
5001;ANTIOQUIA;MEDELLIN;1;1;1544378.9341;454841.008766875;2196925.8;0.019092685543000698;0;387;0.45820000767707825;0.40400001406669617;24808869.2;10.791864967346191;20498469.6;16888.80341796875;92.2266845703125;10.181974411010742;13.874;16;22;915;17;4;5;2;23;756;46576;251995;0;NA;0;0;NA;0
5002;ANTIOQUIA;ABEJORRAL;1;4;6168.9100571;4140.782631;20405.8;0.6911791205406189;58.20087432861328;497;0.47049999237060547;0.4666999876499176;84223.69375;4.457313394546508;148194.95078125;76050.821484375;88.21349334716797;6.274855613708496;16.072;11;14;20;2;0;1;0;1;3;8721;3567;0;NA;0;0;NA;0
5004;ANTIOQUIA;ABRIAQUI;1;7;2253.1579297;1538.753038375;2714;0.6821979999542236;63.85463333129883;293;0.6299999952316284;0.5062000155448914;19340.25546875;9.781475925445557;19863.943359375;2444.9729248046874;92.85227966308594;7.427028179168701;18.216;4;0;1;1;0;0;0;0;0;904;539;0;-9.09822866344605;1;0;NA;0
5021;ANTIOQUIA;ALEJANDRIA;1;10;4385.7245678;2077.408657;3870.2;0.5054603755474091;61.11421585083008;151;0.47049999237060547;0.4666999876499176;45855.12265625;13.184587097167968;47613.125390625;8900.523291015625;92.18138885498047;7.065300464630127;19.744;0;3;6;4;0;1;0;3;1;5919;3172;0;-29.016786570743406;0;1;17.15;0
5030;ANTIOQUIA;AMAGA;1;13;7642.2317791000005;3954.363987125;26998.6;0.48657257556915284;29.878856658935547;85;0.582099974155426;0.48899999260902405;211495.04375;7.7051393508911135;179097.65;19765.2423828125;91.06133270263672;7.671256065368652;14.324;0;0;8;4;0;0;0;0;1;1060;674;1;7.011911801976851;1;0;NA;0
5031;ANTIOQUIA;AMALFI;1;16;9997.7423712;4552.0995795;20484.9;0.46883474886417387;105.13086700439453;1224;0.6299999952316284;0.5062000155448914;172190.671875;8.372778034210205;158018.065625;24497.3953125;82.59163665771484;6.309552192687988;16.878;1;2;13;3;1;0;0;1;19;3794;1910;1;33.909319155220786;0;0;NA;0
5034;ANTIOQUIA;ANDES;1;19;13129.2993939;5846.420346125;41490.3;0.5419576585292816;76.31037902832031;449;0.582099974155426;0.48899999260902405;415191.6375;9.97694206237793;420000.221875;85622.54296875;84.93494415283203;6.700827121734619;14.124;2;4;16;3;0;0;0;0;50;2604;1654;0;-11.68240850059032;0;1;5.520000000000003;1
5036;ANTIOQUIA;ANGELOPOLIS;1;22;3770.3743882000003;1949.625838625;7578.1;0.4657655328512192;19.25767707824707;87;0.582099974155426;0.48899999260902405;48038.7;6.1033679962158205;41382.114453125;4848.853759765625;81.76006317138672;7.042511940002441;13.706;0;1;3;4;0;0;0;0;0;1018;444;1;6.246351430239351;1;0;NA;0
5038;ANTIOQUIA;ANGOSTURA;1;25;6427.5759293;3795.704572375;12526.5;0.8311233699321747;72.68952941894531;392;0.6299999952316284;0.5062000155448914;134445.96875;11.20240650177002;189697.6109375;25937.2583984375;80.79589080810547;5.720223903656006;30.24;8;11;9;0;0;0;0;0;3;3067;1833;0;NA;0;0;NA;0
5040;ANTIOQUIA;ANORI;1;28;7323.2209854;4189.684662;14922.4;0.6521091759204865;117.60968780517578;1447;0.6299999952316284;0.5062000155448914;60204.34453125;4.048743772506714;55550.194921875;11809.83505859375;83.08736419677734;6.500210285186768;24.804;6;7;6;3;1;5;0;6;35;5690;840;0;-12.259122591225918;0;0;NA;0
