id_dane;municipality;state;depto;mpio;year;MFA_PER;MFA_FAM;MFA_INV;MFA_UNI_FAM;MFA_UNI_INV;MFA_UNI_PER;MFA_SIS_FAM;MFA_SIS_INV;MFA_SIS_PER;MFA_DES_FAM;MFA_DES_INV;MFA_DES_PER;edata_year;desc_depto;desc_mpio;desc_pp_1;porc_part_mesa_1;desc_pp_2;porc_part_mesa_2;desc_pp_3;porc_part_mesa_3;pres_pp_bwon;pres_pp_blost;coa_pp_bwon;coa_pp_blost;margin_pres;sample_pres;MFA_pc;MFA_SIS_pc;MFA_DES_pc;MFA_UNI_pc
5001;MEDELLIN;ANTIOQUIA;1;1;2014;113967;67612;44396.2674;14589;7819.1524;24468;26453;16237.4174;44225;26569;20339.514;45273;2011;ANTIOQUIA;MEDELLIN;PARTIDO LIBERAL COLOMBIANO;35.32014272196232;PARTIDO CONSERVADOR COLOMBIANO - G.S.C MOVIMIENTO FIRMES POR MEDELLIN;32.75371604116321;NA;NA;0;0;1;0;NA;0;0.3895537076522151;0.36715471791972865;0.44926366708634285;0.31956647049207126
5001;MEDELLIN;ANTIOQUIA;1;1;2015;117238;69375;48182.17865;14678;7985.88595;25401;21632;13480.44935;36468;33065;26715.84335;55369;2011;ANTIOQUIA;MEDELLIN;PARTIDO LIBERAL COLOMBIANO;35.32014272196232;PARTIDO CONSERVADOR COLOMBIANO - G.S.C MOVIMIENTO FIRMES POR MEDELLIN;32.75371604116321;NA;NA;0;0;1;0;NA;0;0.41097748724816185;0.36965145744214106;0.48250543354584696;0.314392581000748
5001;MEDELLIN;ANTIOQUIA;1;1;2016;113508;69740;48874.6711;13482;7202.0911;22276;20290;12516.33675;33118;35968;29156.24325;58114;2015;ANTIOQUIA;MEDELLIN;  CREEMOS;33.44;  PARTIDO CENTRO DEMOCRÁTICO;32.14;NA;NA;0;0;0;0;NA;0;0.4305834927934595;0.37793154025001513;0.5017077339367451;0.3233116852217633
5001;MEDELLIN;ANTIOQUIA;1;1;2017;108149;71586;48500.8278;12769;6786.677;19683;19034;10327.29585;29158;39783;31386.85495;59308;2015;ANTIOQUIA;MEDELLIN;  CREEMOS;33.44;  PARTIDO CENTRO DEMOCRÁTICO;32.14;NA;NA;0;0;0;0;NA;0;0.44846302601041155;0.35418395809040404;0.5292178955621502;0.3447989127673627
5001;MEDELLIN;ANTIOQUIA;1;1;2018;101192;67141;43020.48775;11047;5509.9871;16753;16796;7944.5148;25921;39298;29565.98585;58518;2015;ANTIOQUIA;MEDELLIN;  CREEMOS;33.44;  PARTIDO CENTRO DEMOCRÁTICO;32.14;NA;NA;0;0;0;0;NA;0;0.4251372415803621;0.3064895181513059;0.5052460072114563;0.3288955470661971
5002;ABEJORRAL;ANTIOQUIA;1;4;2014;2929;1715;1160.6294;336;200.119;518;982;655.6136;1744;397;304.8968;667;2011;ANTIOQUIA;ABEJORRAL;PARTIDO LIBERAL COLOMBIANO;56.411428571428566;PARTIDO CONSERVADOR COLOMBIANO;39.30285714285714;NA;NA;0;0;1;1;NA;0;0.39625448958688975;0.37592522935779815;0.4571166416791604;0.38633011583011584
5002;ABEJORRAL;ANTIOQUIA;1;4;2015;2537;1502;1003.05525;303;178.67085;466;787;519.3513;1371;412;305.0331;700;2011;ANTIOQUIA;ABEJORRAL;PARTIDO LIBERAL COLOMBIANO;56.411428571428566;PARTIDO CONSERVADOR COLOMBIANO;39.30285714285714;NA;NA;0;0;1;1;NA;0;0.3953706148994876;0.37881203501094096;0.4357615714285714;0.38341384120171673
5002;ABEJORRAL;ANTIOQUIA;1;4;2016;2352;1467;980.06235;269;159.2262;405;709;456.36055;1191;489;364.4756;756;2015;ANTIOQUIA;ABEJORRAL;  PARTIDO LIBERAL COLOMBIANO;35.71;  PARTIDO OPCIÓN CIUDADANA;20.39;NA;NA;0;0;1;0;NA;0;0.4166931760204082;0.38317426532325777;0.482110582010582;0.3931511111111111
5002;ABEJORRAL;ANTIOQUIA;1;4;2017;2224;1491;955.9685;251;144.72285;353;692;418.14955;1076;548;393.0961;795;2015;ANTIOQUIA;ABEJORRAL;  PARTIDO LIBERAL COLOMBIANO;35.71;  PARTIDO OPCIÓN CIUDADANA;20.39;NA;NA;0;0;1;0;NA;0;0.4298419514388489;0.3886148234200743;0.49446050314465406;0.4099797450424929
5002;ABEJORRAL;ANTIOQUIA;1;4;2018;2107;1378;895.14525;230;137.90735;334;610;363.6666;981;538;393.5713;792;2015;ANTIOQUIA;ABEJORRAL;  PARTIDO LIBERAL COLOMBIANO;35.71;  PARTIDO OPCIÓN CIUDADANA;20.39;NA;NA;0;0;1;0;NA;0;0.424843497864262;0.3707100917431193;0.4969334595959596;0.41289625748502995
5004;ABRIAQUI;ANTIOQUIA;1;7;2014;304;170;121.4766;28;16.0344;44;71;49.7352;132;71;55.707;128;2011;ANTIOQUIA;ABRIAQUI;PARTIDO DE INTEGRACION NACIONAL;44.36392914653784;PARTIDO SOCIAL DE UNIDAD NACIONAL;35.26570048309179;NA;NA;0;1;0;1;-9.09822866344605;1;0.3995940789473684;0.37678181818181816;0.4352109375;0.36441818181818186
5004;ABRIAQUI;ANTIOQUIA;1;7;2015;293;162;123.7;23;14.99525;39;44;31.2203;83;95;77.48445;171;2011;ANTIOQUIA;ABRIAQUI;PARTIDO DE INTEGRACION NACIONAL;44.36392914653784;PARTIDO SOCIAL DE UNIDAD NACIONAL;35.26570048309179;NA;NA;0;1;0;1;-9.09822866344605;1;0.42218430034129695;0.37614819277108436;0.4531254385964912;0.38449358974358977
5004;ABRIAQUI;ANTIOQUIA;1;7;2016;317;186;151.9046;17;12.2638;29;34;23.16375;63;135;116.47705;225;2015;ANTIOQUIA;ABRIAQUI;  PARTIDO CONSERVADOR COLOMBIANO;54.44;  PARTIDO OPCIÓN CIUDADANA;42;NA;NA;0;0;0;0;NA;0;0.47919432176656146;0.3676785714285714;0.5176757777777778;0.4228896551724138
5004;ABRIAQUI;ANTIOQUIA;1;7;2017;314;206;159.27595;14;8.2069;19;26;15.60315;44;166;135.4659;251;2015;ANTIOQUIA;ABRIAQUI;  PARTIDO CONSERVADOR COLOMBIANO;54.44;  PARTIDO OPCIÓN CIUDADANA;42;NA;NA;0;0;0;0;NA;0;0.5072482484076433;0.3546170454545454;0.5397047808764941;0.43194210526315785
