depto;desc_depto;mpio;desc_mpio;edata_year;desc_pp_1;porc_part_mesa_1;desc_pp_2;porc_part_mesa_2;desc_pp_3;porc_part_mesa_3;pres_pp_bwon;pres_pp_blost;coa_pp_bwon;coa_pp_blost;margin_pres;sample_pres
1;ANTIOQUIA;1;MEDELLIN;2011;PARTIDO LIBERAL COLOMBIANO;35.32014272196232;PARTIDO CONSERVADOR COLOMBIANO - G.S.C MOVIMIENTO FIRMES POR MEDELLIN;32.75371604116321;NA;NA;0;0;1;0;NA;0
1;ANTIOQUIA;4;ABEJORRAL;2011;PARTIDO LIBERAL COLOMBIANO;56.411428571428566;PARTIDO CONSERVADOR COLOMBIANO;39.30285714285714;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;7;ABRIAQUI;2011;PARTIDO DE INTEGRACION NACIONAL;44.36392914653784;PARTIDO SOCIAL DE UNIDAD NACIONAL;35.26570048309179;NA;NA;0;1;0;1;-9.09822866344605;1
1;ANTIOQUIA;10;ALEJANDRIA;2011;PARTIDO CONSERVADOR COLOMBIANO;63.41212744090442;PARTIDO SOCIAL DE UNIDAD NACIONAL;34.395340870161014;NA;NA;0;1;1;1;-29.016786570743406;0
1;ANTIOQUIA;13;AMAGA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;24.457210441834924;PARTIDO CAMBIO RADICAL;17.445298639858073;NA;NA;1;0;1;1;7.011911801976851;1
1;ANTIOQUIA;16;AMALFI;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;51.82395510264362;PARTIDO CONSERVADOR COLOMBIANO;17.914635947422834;NA;NA;1;0;1;1;33.909319155220786;0
1;ANTIOQUIA;19;ANDES;2011;PARTIDO CONSERVADOR COLOMBIANO;48.95513577331759;PARTIDO SOCIAL DE UNIDAD NACIONAL;37.27272727272727;NA;NA;0;1;1;1;-11.68240850059032;0
1;ANTIOQUIA;22;ANGELOPOLIS;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;48.9492119089317;PARTIDO LIBERAL COLOMBIANO;42.70286047869235;NA;NA;1;0;1;1;6.246351430239351;1
1;ANTIOQUIA;25;ANGOSTURA;2011;PARTIDO VERDE;52.329674880927726;PARTIDO CONSERVADOR COLOMBIANO;33.712984054669704;NA;NA;0;0;0;1;NA;0
1;ANTIOQUIA;28;ANORI;2011;PARTIDO LIBERAL COLOMBIANO;48.6879868798688;PARTIDO SOCIAL DE UNIDAD NACIONAL;36.428864288642885;NA;NA;0;1;1;1;-12.259122591225918;0
1;ANTIOQUIA;31;ANTIOQUIA;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;52.68964259664478;PARTIDO LIBERAL COLOMBIANO;29.385485047410647;NA;NA;1;0;1;1;23.304157549234134;0
1;ANTIOQUIA;34;ANZA;2011;PARTIDO CAMBIO RADICAL;39.5230998509687;PARTIDO LIBERAL COLOMBIANO;32.48882265275708;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;35;APARTADO;2011;PARTIDO DE LA U - G.S.C UNIDAD Y GESTION PARA LA PROSPERIDAD;38.04153453661095;PARTIDO DE INTEGRACION NACIONAL;36.10309720798264;NA;NA;1;0;0;0;1.9384373286283108;1
1;ANTIOQUIA;37;ARBOLETES;2011;PARTIDO SOCIAL DE UNIDAD NACIONAL;59.40858043144542;PARTIDO CAMBIO RADICAL;34.43483881392906;NA;NA;1;0;1;1;24.97374161751636;0
1;ANTIOQUIA;39;ARGELIA;2011;PARTIDO CONSERVADOR COLOMBIANO;55.17152437451638;PARTIDO CAMBIO RADICAL;38.76708795460407;NA;NA;0;0;1;1;NA;0
1;ANTIOQUIA;40;ARMENIA;2011;PARTIDO CONSERVADOR COLOMBIANO;50.131826741996235;PARTIDO LIBERAL COLOMBIANO;45.16007532956686;NA;NA;0;0;1;1;NA;0
